,X,O,pred,diff
206,AKMU,ORG,O,1
209,MADE,ORG,O,1
214,EXIT,ORG,O,1
219,YGGG,ORG,O,1
220,Saddest,ORG,O,1
244,NRO,ORG,O,1
277,theweatherchannel,ORG,O,1
1076,Dorito,ORG,O,1
1287,Intelligent,ORG,O,1
1288,Management,ORG,O,1
1391,Great,ORG,O,1
1392,Gizmos,ORG,O,1
1412,Guess,ORG,O,1
1413,Who,ORG,O,1
2042,Corp.,ORG,O,1
2727,Inc.,ORG,O,1
2914,Starbucks,ORG,O,1
3433,Syma,ORG,O,1
3478,BBoyz,ORG,O,1
3670,JabberDuck,ORG,O,1
3756,stangs,ORG,O,1
3796,Audiocells,ORG,O,1
4467,2ne1,ORG,O,1
4667,Repair,ORG,O,1
4668,Matters,ORG,O,1
5033,Alternative,ORG,O,1
5034,Revolution,ORG,O,1
5035,Magazine,ORG,O,1
5248,Man,ORG,O,1
6116,insta,ORG,O,1
6140,ig,ORG,O,1
6177,makeup,ORG,O,1
6178,revolution,ORG,O,1
6542,PL,ORG,O,1
6556,Radio,ORG,O,1
7505,insta,ORG,O,1
7810,BTS,ORG,O,1
8377,NATURE,ORG,O,1
8538,Sera,ORG,O,1
8539,Community,ORG,O,1
9167,doritos,ORG,O,1
9823,mcgolf,ORG,O,1
9837,Groupme,ORG,O,1
10599,LloydsPharmacy,ORG,O,1
10786,THE,ORG,O,1
10787,SORRY,ORG,O,1
10788,Girls,ORG,O,1
12181,Speedway,ORG,O,1
13454,valkyrie,ORG,O,1
13456,ra*bits,ORG,O,1
13671,EXO,ORG,O,1
14125,Cadet,ORG,O,1
14126,World,ORG,O,1
14127,Team,ORG,O,1
14175,RONA,ORG,O,1
14189,Inc.,ORG,O,1
14257,EXO,ORG,O,1
14721,Multibionta,ORG,O,1
14790,yeti,ORG,O,1
15351,eBay.ca,ORG,O,1
15547,air,ORG,O,1
15792,Free,ORG,O,1
15793,Syrian,ORG,O,1
15794,Army,ORG,O,1
16218,Photography,ORG,O,1
16556,of,ORG,O,1
16557,Death,ORG,O,1
16558,Metal,ORG,O,1
17144,Armalite,ORG,O,1
17171,Speedway,ORG,O,1
17240,EXO,ORG,O,1
18067,supercells,ORG,O,1
18879,1D,ORG,O,1
